,Point per game,Point per game,Point per game,Point per game,Point per game,Point per game,Point per game
Year,2016,2017,2018,2019,2020,2021,2022
1,22,26,24,30.1,23.1,22.8,20.9
2,20,16.6,24.8,26.8,34.2,19.3,21
3,21.2,20.2,20,25.7,16.4,16.7,23.6
4,19.9,21.2,30.9,18.8,16.3,19.9,29.5
5,28.3,22.6,17.1,23.3,21.2,15.7,22
6,22.7,18.3,20.1,22.8,25.3,17,21.8
7,22,20.2,25.6,22.5,19.8,15.3,14.7
8,22.7,20.8,19.2,17.1,17.6,23.7,23.1
9,22,23.2,22,26.1,16.6,14.5,20.7
10,20.8,24.8,17.1,18.1,19.6,20.1,18.9
11,23.3,22,21.8,22.6,25.8,19.9,21.4
12,18.6,19.3,23,20.7,21.2,23.4,19
13,20.3,17.3,22.6,17.2,21.1,15.3,17.3
14,20.9,22.8,14.5,19.4,15.5,19.8,27.7
15,21.3,20.5,15.9,16.5,19,15.5,11.5
16,18.7,14.5,18.4,18.9,20.7,12.7,17.1
17,15.6,21.7,16.6,11.7,16.2,17.8,18.4
18,24.2,28.8,17.1,24.1,21,16.3,16.4
19,23.5,13.6,20,23.6,19.5,19.2,17.9
20,16.7,16.7,17.3,16,22.4,21.7,23.3
21,19.2,17.6,25.8,21.5,19.8,24.4,19.6
22,21.2,14.6,21.6,25.6,16.7,27.1,15.8
23,16.1,22.7,21.2,24.5,21.1,19.8,16.9
24,16,21.3,18.8,15.4,18.4,24.3,17.1
25,18.8,19.5,16.2,17.5,18,18.2,10.4
26,21.4,22,16.9,17.2,28.6,18.2,14.7
27,16.1,22.6,15.4,16.4,23.7,16.4,12.6
28,17.5,17.6,19.5,20.6,17.1,18.6,19.8
29,21.6,16.9,23.8,27.4,19.1,16.3,13.8
30,16,16.6,18.3,18.1,22.6,22.9,12
31,22.5,23.2,18.5,14,20.7,19.9,18.1
32,17.6,17.2,17.2,23.6,13.7,22.1,20.2
33,24.3,22.3,19,23.1,18.3,20.3,23.4
34,15,15.2,13.8,18.3,18.9,16.6,15.2
35,18.4,26.2,13.5,20.8,19.3,18.2,14.5
36,24.7,23.9,22.8,18.8,21.8,20.3,23.1
37,24.6,19.5,16.2,28.2,22.1,14,18
38,21.7,17.9,12.3,15.2,17.3,14.4,17.3
39,26.5,20.3,16.9,17.4,18.7,24.4,14.3
40,15.9,25.5,23.9,20,19.4,15.1,16.6
41,15.7,16.4,20.2,14.4,17.8,30.6,16.9
42,16.6,14.5,19.3,21.7,22.8,23.2,13.2
43,15.2,25.2,22.2,22.8,18.3,19.7,20.8
44,19,18.6,18.5,18.8,26.1,17.5,
45,,18,14.6,20.5,22.3,12.3,
36,,13,19.8,28.7,19.1,15,
47,,26.1,17.8,22.8,26.2,18.1,
48,,20.5,25.4,17.4,22.5,,
49,,17.9,15.2,16.3,,,
50,,20.6,18.1,22.1,,,
51,,,13.8,17.7,,,
