Draft Position,Name,College,Drafted Team,Position,Rebound (POWER FORWARDS AND CENTERS ONLY),Blocks(POWER FORWARDS AND CENTERS)
1,Paolo Banchero,Duke,Orlando Magic,PF,7.8,0.9
3,Jabari Smith Jr,Aubrun,Houston Rockets,PF,7.4,1
9,Jeremy Sochan,Baylor,San Antonio Spurs,PF,6.4,0.7
17,Tari Eason,LSU,Houston Rockets,PF,6.6,1.1
28,Patrick Baldwin Jr,Milwuakee,Golden State Warriors,PF,5.8,0.8
34,Jaylin Williams,Arkansas,Oklahoma City Thunder,PF,9.8,0.5
41,E.J. Lindell,Ohio State,New Orleans Pelicans,PF,7.9,2.6
43,Moussa Diabate,Michigan,Los Angeles Clippers,PF,6,0.9
49,Isaiah Mobley,USC,Clevland Cavaliers,PF,7.8,0.9
57,Jabari Walker,Colorado,Portland Trail Blazers,PF,9.4,0.7
