Draft Position ,Name,College/international/g-league,Points Per Game,
2,Lonzo Ball,College,11.9,
3,Jayson Tatum,College,20.9,
4,Josh Jackson,College,11.3,
5,De'Aaron Fox,College,19.1,
7,Lauri Markkanen,College,15.4,
8,Frank Ntilikina,International,5.2,
9,Dennis Smith Jr.,College,10.7,
11,Malik Monk,College,10.3,
12,Luke Kennard,College,10,
13,Donovan Mitchell,College,23.9,
14,Bam Adebayo,College,13.5,
19,John Collins,College,16.5,
22,Jarrett Allen,College,11.6,
23,OG Anunoby,College,10.4,
27,Kyle Kuzma,College,15.6,
29,Derrick White,College,11.5,
30,Josh Hart,College,9.9,
37,Semi Ojeleye,College,3.4,
40,Dwayne Bacon,College,7.3,
42,Thomas Bryant,College,10.2,
43,Isaiah Hartenstein,International,5.8,
44,Damyean Dotson,College,7.5,
45,Dillon Brooks,College,14.5,
46,Sterling Brown,College,5.4,
51,Monte Morris,College,10.5,
1,Deandre Ayton,College,16.3,
2,Marvin Bagley III,College,13.6,
3,Luka Don?i?,International,26.4,
4,Jaren Jackson Jr.,College,15.8,
5,Trae Young,College,25.3,
6,Mo Bamba,College,7.7,
7,Wendell Carter Jr.,College,12.2,
8,Collin Sexton,College,20,
9,Kevin Knox,College,7.7,
10,Mikal Bridges,College,11.3,
11,Shai Gilgeous-Alexander,College,18.2,
12,Miles Bridges,College,13.4,
14,Michael Porter Jr.,College,4.5,
15,Troy Brown Jr.,College,14.1,
17,Donte DiVincenzo,College,6.4,
18,Lonnie Walker IV,College,9,
19,Kevin Huerter,College,9.4,
20,Josh Okogie,College,11.4,
21,Grayson Allen,College,6.4,
23,Aaron Holiday,College,9.4,
26,Landry Shamet,College,10.2,
27,Robert Williams,College,9,
33,Jalen Brunson,College,7.2,
34,Devonte' Graham,College,11.9,
37,Gary Trent Jr.,College,8.4,
41,Jarred Vanderbilt,College,13.5,
42,Bruce Brown,College,5.4,
45,Hamidou Diallo,College,7.6,
46,De'Anthony Melton,College,8.4,
47,Svi Mykhailiuk,College,8.4,
54,Shake Milton,College,6.6,
1,Zion Williamson,College,25.7,
2,Ja Morant,College,21.2,
3,RJ Barrett,College,17.5,
4,De'Andre Hunter,College,13.2,
5,Darius Garland,College,17.4,
6,Jarrett Culver,College,6.6,
7,Coby White,College,13.7,
8,Jaxson Hayes,College,8.1,
9,Rui Hachimura,College,13,
10,Cam Reddish,College,10.5,
11,Cameron Johnson,College,10.4,
12,P.J. Washington,College,11.8,
13,Tyler Herro,College,16.7,
15,Sekou Doumbouya,International,5.6,
17,Nickeil Alexander-Walker,College,9.3,
18,Goga Bitadze,International,5,
20,Matisse Thybulle,College,4.8,
21,Brandon Clarke,College,10.9,
22,Grant Williams,College,5.4,
23,Darius Bazley,International,10,
25,Nassir Little,College,5.8,
28,Jordan Poole,College,13.7,
29,Keldon Johnson,College,14.4,
30,Kevin Porter Jr.,College,13.7,
38,Daniel Gafford,College,7.6,
41,Eric Paschall,College,9.8,
45,Isaiah Roby,College,9.1,
46,Talen Horton-Tucker,College,9.3,
48,Terance Mann,College,7.6,
52,Jalen McDaniels,College,6.6,
1,Anthony Edwards,College,20.3,
2,James Wiseman,College,11.5,
3,LaMelo Ball,International,18.3,
4,Patrick Williams,College,9.2,
5,Isaac Okoro,College,9.2,
6,Onyeka Okongwu,College,6.3,
7,Killian Hayes,International,6.8,
8,Obi Toppin,College,6.7,
9,Deni Avdija,International,7.6,
11,Devin Vassell,College,9.1,
12,Tyrese Haliburton,College,14.3,
15,Cole Anthony,College,14.9,
16,Isaiah Stewart,College,8.1,
17,Aleksej Pokusevski,International,7.8,
19,Saddiq Bey,College,14.3,
20,Precious Achiuwa,College,7.2,
21,Tyrese Maxey,College,13.2,
24,R.J. Hampton,International,7.3,
25,Immanuel Quickley,College,11.4,
26,Payton Pritchard,College,6.9,
28,Jaden McDaniels,College,8.1,
30,Desmond Bane,College,14,
34,Théo Maledon,International,8.8,
1,Cade Cunningham,College,17.4,
2,Jalen Green,G-League,17.3,
3,Evan Mobley,College,15,
4,Scottie Barnes,College,15.3,
5,Jalen Suggs,College,11.8,
6,Josh Giddey,International,12.5,
7,Jonathan Kuminga,G-League,9.3,
8,Franz Wagner,College,15.2,
9,Davion Mitchell,College,11.5,
13,Chris Duarte,College,13.1,
15,Corey Kispert,College,8.2,
16,Alperen ?engün,International,9.6,
18,Tre Mann,College,10.4,
24,Josh Christopher,College,7.9,
35,Herbert Jones,College,9.5,
38,Ayo Dosunmu,College,8.8,
