Draft Position,Name,College,Drafted Team,Position,Efficiency
1,Paolo Banchero,Duke,Orlando Magic,PF,24.2
2,Chet Holmgren,Gonzaga,Oklahoma City Thunder,C,31.3
3,Jabari Smith Jr,Aubrun,Houston Rockets,PF,25.1
4,Keegan Murray,Iowa,Sacremento Kings,SF,37.8
5,Jaden Ivy,Purdue,Detriot Pistons,SG,22.5
6,Benedict Mathurin,Arizona,Indiana Pacers,SG,21.1
7,Shaedon Sharpe,Kentucky,San Antonio Spurs,SG,0
8,Dyson Daniels,G-League Ignite,New Orleans Pelicans,PG,17
9,Jeremy Sochan,Baylor,San Antonio Spurs,PF,19.6
10,Johnny Davis,Wisconsin,Washington Wizards,SG,24.3
11,Ousmane Dieng,International,New York Knicks(traded to OKC),SF,10.66
12,Jalen Williams,Santa Clara,Oklahoma City Thunder,SG,22.8
13,Jalen Duren,Memphis,Charlotte Hornets(Traded to Detriot Pistons),C,25.3
14,Ochai Agbaji,Kansas,Clevland Cavaliers,SG,20.8
15,Mark Williams,Duke,Charlotte Hornets,C,33.1
16,AJ Griffin,Duke,Atlanta Hawks,SF,20.7
17,Tari Eason,LSU,Houston Rockets,PF,33.4
18,Dalen Terry,Arizona,Chicago Bulls,SG,16.9
19,Jake LaRavia,Wake Forest,Minisota Timberwolves(Traded to Memphis Grizzlies),SF,22.9
20,Malakai Branham,Ohio State,San Antonio Spurs,SG,20.4
21,Christian Braun,Kansas,Denver Nuggets,SG,19.2
22,Walker Kessler,Aubrun,Memphis Grizzlies(Traded to Utah Jazz),C,31.4
23,David Roddy,Colorado State,Philidelphia 76ers (Traded to Memphis Grizzlies),SF,30.3
24,MarJon Beauchamp,G-League Ignite,Milwaukee Bucks,SG,17.7
25,Blake Wesley,Notre Dame,San Antonio Spurs,PG,16.9
26,Wendell Moore Jr.,Duke,Dallas Mavericks(Traded to Minesota Timberwolves),SF,21.4
27,Nikola Jovic,International,Miami Heat,SF,11.8
28,Patrick Baldwin Jr,Milwuakee,Golden State Warriors,PF,13.9
29,TyTy Washington,Kentucky,Memphis Grizzlies(Traded to Houston Rockets),PG,19.3
30,Peyton Watson,UCLA,Oklahoma City Thunder(Traded to Denver Nuggets),SF,11.2
31,Andrew Nembhard,Gonzaga,Indiana Pacers,PG,18.1
32,Caleb Houstan,Michigan,Orlando Magic,SF,11.8
33,Christian Koloko,Arizona,Toronto Raptors,C,28
34,Jaylin Williams,Arkansas,Oklahoma City Thunder,PF,18.9
35,Max Christie,Michigan State,Los Angeles Lakers,SG,10.5
36,Gabriele Procida,International,Portland Trail Blazers (Traded to Detroit Pistons),SG,17.45
37,Jaden Hardy,G-League Ignite,Sacremento Kings(Traded to Dallas Mavericks),SG,17.7
38,Kennedy Chandler,Tennessee,San Antonio Spurs(Traded to Memphis Grizzlies),PG,20.2
39,Khalifa Diop,International,Clevland Cavaliers,C,16.96
40,Bryce McGowens,Nebraska,Minisota Timberwolves(Traded to Charlotte Hornets),SG,16.9
41,E.J. Lindell,Ohio State,New Orleans Pelicans,PF,30.5
42,Trevor Keels,Duke,New York Knicks,SG,16.5
43,Moussa Diabate,Michigan,Los Angeles Clippers,PF,17.6
44,Ryan Rollins,Toledo,Atlanta Hawks(Traded to Golden State Warriors),SG,24.7
45,Josh Minnot,Memphis,Charlotte Hornets(Traded to Minesota Timberwolves),SF,23.7
46,Ismael Kamagate,International,Detriot Pistons(Denver Nuggets),C,19.48
47,Vince Williams Jr,VCU,Memphis Grizzlies,SG,20.7
48,Kendall Brown,Baylor,Memphis Grizzlies(Indiana Pacers),SF,18.4
49,Isaiah Mobley,USC,Clevland Cavaliers,PF,21.1
50,Matteo Spagnolo,International,Minesota Timberwolves,SG,13.16
51,Tyrese Martin,UConn,Golden State Warriors(Traded to Atlanta Hawks),SG,19.5
52,Karlo Matkovic,Interational,New Orleans Pelicans,C,21.56
53,JD Davidson,Alabama,Boston Celtics,PG,16
54,Yannick Nzosa,International,Washington Wizards,C,7.13
55,Gui Santos,International,Golden State Warriors,SF,15.06
56,Luke Travers,International,Clevland Cavaliers,SG,15.29
57,Jabari Walker,Colorado,Portland Trail Blazers,PF,23
58,Hugo Besson,International,Indiana Pacers(Traded to Milwaukee Bucks),PG,13.44
