Draft Position,Name,College,Drafted Team,Position,Rebound (POWER FORWARDS AND CENTERS ONLY),Blocks(POWER FORWARDS AND CENTERS),,,,,,,,,,,,,,
1,Paolo Banchero,Duke,Orlando Magic,PF,7.8,0.9,,,,,,,,,,,,,,
2,Chet Holmgren,Gonzaga,Oklahoma City Thunder,C,9.9,3.7,,,,,,,,,,,,,,
3,Jabari Smith Jr,Aubrun,Houston Rockets,PF,7.4,1,,,,,,,,,,,,,,
9,Jeremy Sochan,Baylor,San Antonio Spurs,PF,6.4,0.7,,,,,,,,,,,,,,
13,Jalen Duren,Memphis,Charlotte Hornets(Traded to Detriot Pistons),C,8.1,2.1,,,,,,,,,,,,,,
15,Mark Williams,Duke,Charlotte Hornets,C,7.4,2.8,,,,,,,,,,,,,,
17,Tari Eason,LSU,Houston Rockets,PF,6.6,1.1,,,,,,,,,,,,,,
22,Walker Kessler,Aubrun,Memphis Grizzlies(Traded to Utah Jazz),C,8.1,4.6,,,,,,,,,,,,,,
28,Patrick Baldwin Jr,Milwuakee,Golden State Warriors,PF,5.8,0.8,,,,,,,,,,,,,,
33,Christian Koloko,Arizona,Toronto Raptors,C,7.3,2.8,,,,,,,,,,,,,,
34,Jaylin Williams,Arkansas,Oklahoma City Thunder,PF,9.8,0.5,,,,,,,,,,,,,,
39,Khalifa Diop,International,Clevland Cavaliers,C,3.8,0.7,,,,,,,,,,,,,,
41,E.J. Lindell,Ohio State,New Orleans Pelicans,PF,7.9,2.6,,,,,,,,,,,,,,
43,Moussa Diabate,Michigan,Los Angeles Clippers,PF,6,0.9,,,,,,,,,,,,,,
46,Ismael Kamagate,International,Detriot Pistons(Denver Nuggets),C,6.3,1.6,,,,,,,,,,,,,,
49,Isaiah Mobley,USC,Clevland Cavaliers,PF,7.8,0.9,,,,,,,,,,,,,,
52,Karlo Matkovic,Interational,New Orleans Pelicans,C,3.9,1.2,,,,,,,,,,,,,,
54,Yannick Nzosa,International,Washington Wizards,C,2.5,0.7,,,,,,,,,,,,,,
57,Jabari Walker,Colorado,Portland Trail Blazers,PF,9.4,0.7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
