Draft Position,Name,College,Drafted Team,Position,Effective field goal rating (EFG (%),Points per 40 mins,Plus/Minus Rating,Field Goal percentage,Usage(%),Games Played,Win Shares per 48 minutes,Turnover rate (POINT GUARDS ONLY),FT % (POINT GUARDS ONLY),Assists per game (POINT GUARDS ONLY),3 PT % (SHOOTING GUARDS ONLY),Rebound (POWER FORWARDS AND CENTERS ONLY),Blocks(POWER FORWARDS AND CENTERS)
1,Paolo Banchero,Duke,Orlando Magic,PF,52,20.9,7.7,47.8,27.4,39,6.1,,,,,7.8,0.9
2,Chet Holmgren,Gonzaga,Oklahoma City Thunder,C,68,21,15,60.7,21.6,32,6.3,,,,,9.9,3.7
3,Jabari Smith Jr,Aubrun,Houston Rockets,PF,52.1,23.6,11.1,42.9,27.5,34,,,,,,7.4,1
4,Keegan Murray,Iowa,Sacremento Kings,SF,61.4,29.5,13.2,50.6,29.7,35,8.7,,,,,,
5,Jaden Ivy,Purdue,Detriot Pistons,SG,53.3,22,7.2,46,28.7,36,5.1,,,,0.358,,
6,Benedict Mathurin,Arizona,Indiana Pacers,SG,53.6,21.8,8,45,25,37,6.2,,,,0.369,,
7,Shaedon Sharpe,Kentucky,San Antonio Spurs,SG,,,,,,0,,,,,,,
8,Dyson Daniels,G-League Ignite,New Orleans Pelicans,PG,49.6,14.6,2.1,44.9,17.3,14,,2.4,0.737,4.4,,,
9,Jeremy Sochan,Baylor,San Antonio Spurs,PF,53.1,14.7,8,47.4,19.6,30,3.4,,,,,6.4,0.7
10,Johnny Davis,Wisconsin,Washington Wizards,SG,46.4,23.1,8.9,42.7,32.4,31,4.5,,,,0.306,,
11,Ousmane Dieng,International,New York Knicks(traded to OKC),SF,46.3,17,,39.8,24.07,23,-0.48,,,,,,
12,Jalen Williams,Santa Clara,Oklahoma City Thunder,SG,56.2,20.7,6,51.3,24.9,33,5.3,,,,0.396,,
13,Jalen Duren,Memphis,Charlotte Hornets(Traded to Detriot Pistons),C,59.7,18.9,7.1,59.7,22.8,29,3.5,,,,,8.1,2.1
14,Ochai Agbaji,Kansas,Clevland Cavaliers,SG,57,21.4,9,47.5,25.3,39,6.2,,,,0.407,,
15,Mark Williams,Duke,Charlotte Hornets,C,70.4,19,12.5,72.1,18.7,39,6.3,,,,,7.4,2.8
