,,,,,,,,,,,,,,,,,
4,Keegan Murray,Iowa,Sacremento Kings,SF,0.398,,,,,,,,,,,,
5,Jaden Ivy,Purdue,Detriot Pistons,SG,0.358,,,,,,,,,,,,
6,Benedict Mathurin,Arizona,Indiana Pacers,SG,0.369,,,,,,,,,,,,
10,Johnny Davis,Wisconsin,Washington Wizards,SG,0.306,,,,,,,,,,,,
11,Ousmane Dieng,International,New York Knicks(traded to OKC),SF,0.271,,,,,,,,,,,,
12,Jalen Williams,Santa Clara,Oklahoma City Thunder,SG,0.396,,,,,,,,,,,,
14,Ochai Agbaji,Kansas,Clevland Cavaliers,SG,0.407,,,,,,,,,,,,
16,AJ Griffin,Duke,Atlanta Hawks,SF,0.447,,,,,,,,,,,,
18,Dalen Terry,Arizona,Chicago Bulls,SG,0.364,,,,,,,,,,,,
19,Jake LaRavia,Wake Forest,Minisota Timberwolves(Traded to Memphis Grizzlies),SF,0.384,,,,,,,,,,,,
20,Malakai Branham,Ohio State,San Antonio Spurs,SG,0.416,,,,,,,,,,,,
21,Christian Braun,Kansas,Denver Nuggets,SG,0.386,,,,,,,,,,,,
23,David Roddy,Colorado State,Philidelphia 76ers (Traded to Memphis Grizzlies),SF,0.438,,,,,,,,,,,,
24,MarJon Beauchamp,G-League Ignite,Milwaukee Bucks,SG,0.242,,,,,,,,,,,,
26,Wendell Moore Jr.,Duke,Dallas Mavericks(Traded to Minesota Timberwolves),SF,0.341,,,,,,,,,,,,
27,Nikola Jovic,International,Miami Heat,SF,0.356,,,,,,,,,,,,
30,Peyton Watson,UCLA,Oklahoma City Thunder(Traded to Denver Nuggets),SF,0.226,,,,,,,,,,,,
32,Caleb Houstan,Michigan,Orlando Magic,SF,0.355,,,,,,,,,,,,
35,Max Christie,Michigan State,Los Angeles Lakers,SG,0.317,,,,,,,,,,,,
36,Gabriele Procida,International,Portland Trail Blazers (Traded to Detroit Pistons),SG,0.383,,,,,,,,,,,,
37,Jaden Hardy,G-League Ignite,Sacremento Kings(Traded to Dallas Mavericks),SG,0.269,,,,,,,,,,,,
40,Bryce McGowens,Nebraska,Minisota Timberwolves(Traded to Charlotte Hornets),SG,0.274,,,,,,,,,,,,
42,Trevor Keels,Duke,New York Knicks,SG,0.312,,,,,,,,,,,,
44,Ryan Rollins,Toledo,Atlanta Hawks(Traded to Golden State Warriors),SG,0.311,,,,,,,,,,,,
45,Josh Minnot,Memphis,Charlotte Hornets(Traded to Minesota Timberwolves),SF,0.143,,,,,,,,,,,,
47,Vince Williams Jr,VCU,Memphis Grizzlies,SG,0.387,,,,,,,,,,,,
48,Kendall Brown,Baylor,Memphis Grizzlies(Indiana Pacers),SF,0.341,,,,,,,,,,,,
50,Matteo Spagnolo,International,Minesota Timberwolves,SG,0.441,,,,,,,,,,,,
51,Tyrese Martin,UConn,Golden State Warriors(Traded to Atlanta Hawks),SG,0.43,,,,,,,,,,,,
55,Gui Santos,International,Golden State Warriors,SF,0.326,,,,,,,,,,,,
56,Luke Travers,International,Clevland Cavaliers,SG,0.25,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
