Draft Position,Name,College,Drafted Team,Position,3 PT % (SHOOTING GUARDS AND SMALL FORWARDS ONLY)
5,Jaden Ivy,Purdue,Detriot Pistons,SG,0.358
6,Benedict Mathurin,Arizona,Indiana Pacers,SG,0.369
10,Johnny Davis,Wisconsin,Washington Wizards,SG,0.306
12,Jalen Williams,Santa Clara,Oklahoma City Thunder,SG,0.396
14,Ochai Agbaji,Kansas,Clevland Cavaliers,SG,0.407
18,Dalen Terry,Arizona,Chicago Bulls,SG,0.364
20,Malakai Branham,Ohio State,San Antonio Spurs,SG,0.416
21,Christian Braun,Kansas,Denver Nuggets,SG,0.386
24,MarJon Beauchamp,G-League Ignite,Milwaukee Bucks,SG,0.242
35,Max Christie,Michigan State,Los Angeles Lakers,SG,0.317
36,Gabriele Procida,International,Portland Trail Blazers (Traded to Detroit Pistons),SG,0.383
37,Jaden Hardy,G-League Ignite,Sacremento Kings(Traded to Dallas Mavericks),SG,0.269
40,Bryce McGowens,Nebraska,Minisota Timberwolves(Traded to Charlotte Hornets),SG,0.274
42,Trevor Keels,Duke,New York Knicks,SG,0.312
44,Ryan Rollins,Toledo,Atlanta Hawks(Traded to Golden State Warriors),SG,0.311
47,Vince Williams Jr,VCU,Memphis Grizzlies,SG,0.387
50,Matteo Spagnolo,International,Minesota Timberwolves,SG,0.441
51,Tyrese Martin,UConn,Golden State Warriors(Traded to Atlanta Hawks),SG,0.43
56,Luke Travers,International,Clevland Cavaliers,SG,0.25
